submission_id,quality_score,functionality_score
269308927,4,1
268967990,5,1
4278977,4,1
204115614,1,1
143412806,1,1
269005075,1,0
269170574,2,0
269308016,2,0
245969688,2,0
225507580,2,0
73921389,2,1
137849766,3,1
130417385,3,1
136272729,3,1
9383316,3,1
267583203,1,0
137964971,2,0
107136237,2,0
58950256,2,0
46680942,1,0
85726948,2,1
199375056,4,1
268649481,4,1
158242314,4,1
19185713,4,1
4286521,2,0
86840533,1,0
220509822,2,0
220758338,2,0
112404248,2,1
189849393,2,1
123945932,3,1
43522335,3,1
87432861,2,1
169976018,2,0
82025698,2,0
233720349,2,0
166294041,1,0
9741875,2,0
39669757,3,1
38123484,3,1
167105542,3,1
162488646,3,1
265000937,3,1
179459229,2,0
18881650,1,0
167104620,2,0
19786574,1,0
52938728,2,0
234429687,3,1
169473686,2,1
119545358,3,1
254086103,4,1
139403250,1,0
196247667,1,0
58063537,2,0
219163636,2,0
60418293,1,0
118507586,2,0
131670468,2,1
102749520,3,1
104735818,2,1
216820075,3,1
162314158,4,1
213203737,2,0
182187454,1,0
214393093,1,0
223297131,2,0
101387883,2,0
14825864,4,1
158767022,4,1
162489352,4,1
144771675,2,1
81955318,2,0
186987706,2,0
100791100,2,0
262282481,4,1
190652630,1,0
117131173,3,1
74000860,1,0
86089020,2,1
69431188,3,1
95693850,3,1
37380947,1,0
112778295,2,0
248322190,1,0
190269470,2,0
56472008,2,0
89771800,2,1
21342587,3,1
112326675,2,1
213359347,4,1
111625189,3,1
9620686,1,0
29829331,2,0
84583002,2,0
84370772,2,0
186104766,1,0
218245929,1,1
43994453,1,1
94500640,3,1
141269710,3,1
44430808,3,1
145163652,1,0
160716626,1,0
46965481,2,0
134083293,1,0
44277185,2,0
166443798,2,1
111410634,2,1
145067225,2,1
200715488,2,1
144887327,2,1
170005027,1,0
9230385,2,0
50632194,2,0
147263807,2,0
204196328,2,0
165698486,2,1
267611391,3,1
182425118,3,1
149900145,3,1
234666884,3,1
49185916,1,0
221241840,2,0
131307519,2,0
216659401,2,0
235699917,2,0
261090890,3,1
46888850,4,1
14365448,4,1
177015175,4,1
43521143,4,1
85572510,2,0
129326927,1,0
105126921,2,0
154156234,2,0
78098112,2,0
15813256,3,1
15797499,2,1
54319605,3,1
144995114,3,1
15817506,2,1
77988853,1,0
113002034,1,0
117302304,1,0
232308516,1,0
90502454,1,0
